"value_n","timestamp","key"
22.202763,2020-04-08 14:55:48,HouseAir_5Min_KMAnamoly
20.897188,2020-04-08 14:56:19,HouseAir_5Min_KMAnamoly
35.439476,2020-04-08 14:56:24,HouseAir_5Min_KMAnamoly
24.206417,2020-04-08 14:56:24,HouseAir_5Min_KMAnamoly
15.453894,2020-04-08 14:56:25,HouseAir_5Min_KMAnamoly
12.250457,2020-04-08 14:56:25,HouseAir_5Min_KMAnamoly
32.409454,2020-04-08 14:56:29,HouseAir_5Min_KMAnamoly
27.808966,2020-04-08 14:56:30,HouseAir_5Min_KMAnamoly
30.985725,2020-04-08 14:56:30,HouseAir_5Min_KMAnamoly
25.58245,2020-04-08 14:56:31,HouseAir_5Min_KMAnamoly
31.125862,2020-04-08 14:56:31,HouseAir_5Min_KMAnamoly
