datetime,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
28/05/2020 18:45,213,42.7533589,42.7533589,42.7533589,0,0,0,0,0
28/05/2020 18:50,214,42.04884031,42.04884031,42.04884031,0,0,0,0,0
28/05/2020 18:55,215,41.34432173,41.34432173,41.34432173,0,0,0,0,0
28/05/2020 19:00,216,40.63980314,40.63980314,40.63980314,0,0,0,0,0
28/05/2020 19:05,217,39.96719126,39.96719126,39.96719126,0,0,0,0,0
28/05/2020 19:10,218,39.29457938,39.29457938,39.29457938,0,0,0,0,0
28/05/2020 19:15,219,38.6219675,38.6219675,38.6219675,0,0,0,0,0
28/05/2020 19:20,220,37.94935562,37.94935562,37.94935562,0,0,0,0,0
28/05/2020 19:25,221,37.27674374,37.27674374,37.27674374,0,0,0,0,0
28/05/2020 19:30,222,36.60413186,36.60413186,36.60413186,0,0,0,0,0
28/05/2020 19:35,223,35.93151998,35.93151998,35.93151998,0,0,0,0,0
28/05/2020 19:40,224,35.2589081,35.2589081,35.2589081,0,0,0,0,0
28/05/2020 19:45,225,34.58629621,34.58629621,34.58629621,0,0,0,0,0
28/05/2020 19:50,226,33.91368433,33.91368433,33.91368433,0,0,0,0,0
28/05/2020 19:55,227,33.24107245,33.24107245,33.24107245,0,0,0,0,0
28/05/2020 20:00,228,32.56846057,32.56846057,32.56846057,0,0,0,0,0
28/05/2020 20:05,229,32.45455175,32.45455175,32.45455175,0,0,0,0,0
28/05/2020 20:10,230,28.90173911,28.90173911,28.90173911,0,0,0,0,0
28/05/2020 20:15,231,28.53783029,28.53783029,28.53783029,0,0,0,0,0
28/05/2020 20:20,232,28.17392146,28.17392146,28.17392146,0,0,0,0,0
28/05/2020 20:25,233,27.81001263,27.81001263,27.81001263,0,0,0,0,0
28/05/2020 20:30,234,27.44610381,27.44610381,27.44610381,0,0,0,0,0
28/05/2020 20:35,235,27.08219498,27.08219498,27.08219498,0,0,0,0,0
28/05/2020 20:40,236,26.71828616,26.71828616,26.71828616,0,0,0,0,0
28/05/2020 20:45,237,26.35437733,26.35437733,26.35437733,0,0,0,0,0
28/05/2020 20:50,238,25.9904685,25.9904685,25.9904685,0,0,0,0,0
28/05/2020 20:55,239,25.62655968,25.62655968,25.62655968,0,0,0,0,0
28/05/2020 21:00,240,25.26265085,25.26265085,25.26265085,0,0,0,0,0
28/05/2020 21:05,241,24.98657713,24.98657713,24.98657713,0,0,0,0,0
28/05/2020 21:10,242,24.71050341,24.71050341,24.71050341,0,0,0,0,0
28/05/2020 21:15,243,24.43442969,24.43442969,24.43442969,0,0,0,0,0
28/05/2020 21:20,244,24.15835597,24.15835597,24.15835597,0,0,0,0,0
28/05/2020 21:25,245,23.88228225,23.88228225,23.88228225,0,0,0,0,0
28/05/2020 21:30,246,23.60620853,23.60620853,23.60620853,0,0,0,0,0
28/05/2020 21:35,247,23.33013481,23.33013481,23.33013481,0,0,0,0,0
28/05/2020 21:40,248,23.05406109,23.05406109,23.05406109,0,0,0,0,0
28/05/2020 21:45,249,22.77798737,22.77798737,22.77798737,0,0,0,0,0
28/05/2020 21:50,250,22.50191364,22.50191364,22.50191364,0,0,0,0,0
28/05/2020 21:55,251,22.22583992,22.22583992,22.22583992,0,0,0,0,0
28/05/2020 22:00,252,21.55792236,21.55792236,21.55792236,0,0,0,0,0
28/05/2020 22:05,253,21.53823448,21.53823448,21.53823448,0,0,0,0,0
28/05/2020 22:10,254,21.51854659,21.51854659,21.51854659,0,0,0,0,0
28/05/2020 22:15,255,21.49885871,21.49885871,21.49885871,0,0,0,0,0
28/05/2020 22:20,256,21.47917082,21.47917082,21.47917082,0,0,0,0,0
28/05/2020 22:25,257,21.45948293,21.45948293,21.45948293,0,0,0,0,0
28/05/2020 22:30,258,21.43979505,21.43979505,21.43979505,0,0,0,0,0
28/05/2020 22:35,259,21.42010716,21.42010716,21.42010716,0,0,0,0,0
28/05/2020 22:40,260,21.40041928,21.40041928,21.40041928,0,0,0,0,0
28/05/2020 22:45,261,21.38073139,21.38073139,21.38073139,0,0,0,0,0
28/05/2020 22:50,262,21.3610435,21.3610435,21.3610435,0,0,0,0,0
28/05/2020 22:55,263,21.34135562,21.34135562,21.34135562,0,0,0,0,0
28/05/2020 23:00,264,21.32166773,21.32166773,21.32166773,0,0,0,0,0
28/05/2020 23:05,265,21.29471289,21.29471289,21.29471289,0,0,0,0,0
28/05/2020 23:10,266,21.26775804,21.26775804,21.26775804,0,0,0,0,0
28/05/2020 23:15,267,21.24080319,21.24080319,21.24080319,0,0,0,0,0
28/05/2020 23:20,268,21.21384834,21.21384834,21.21384834,0,0,0,0,0
28/05/2020 23:25,269,21.1868935,21.1868935,21.1868935,0,0,0,0,0
28/05/2020 23:30,270,21.15993865,21.15993865,21.15993865,0,0,0,0,0
28/05/2020 23:35,271,21.1329838,21.1329838,21.1329838,0,0,0,0,0
28/05/2020 23:40,272,21.10602895,21.10602895,21.10602895,0,0,0,0,0
28/05/2020 23:45,273,21.07907411,21.07907411,21.07907411,0,0,0,0,0
28/05/2020 23:50,274,21.05211926,21.05211926,21.05211926,0,0,0,0,0
28/05/2020 23:55,275,21.02516441,21.02516441,21.02516441,0,0,0,0,0
29/05/2020 00:00,276,20.99820956,20.99820956,20.99820956,0,0,0,0,0
29/05/2020 00:05,277,21.0198171,21.0198171,21.0198171,0,0,0,0,0
