date,ROWID,AmbientTemperature_C,Inverter_Temperature_C,PanelTemperature_C,GlobalTiltedIrradiance_wm2,GlobalHorizontalIrradiance_wm2,Power_kW,Voltage_volt,Current_amp
21/06/2020 09:40,7016,55.19873047,52.34179688,53.69628906,1038.71875,1094.4375,393.703125,669.4375,587.75
21/06/2020 09:45,7017,55.53173828,52.67480469,53.99609375,1040.96875,1093.953125,393.9570313,667.140625,590.3515625
21/06/2020 09:50,7018,55.98632813,52.96484375,53.61035156,1042.53125,1091.625,394.3320313,664.1328125,593.578125
21/06/2020 09:55,7019,56.44775391,53,52.61474609,1043.8125,1088.4375,394.2539063,661.5625,596.953125
21/06/2020 10:00,7020,56.90185547,53,51.68359375,1044.640625,1084.421875,394.2539063,659.015625,598.8515625
21/06/2020 10:05,7021,57.44726563,53,51.37597656,1045,1080.453125,394.2109375,657.5,599.9765625
21/06/2020 10:10,7022,57.88671875,53,51.54345703,1044.828125,1076.703125,394.7109375,655.2578125,602.125
21/06/2020 10:15,7023,58.43261719,53,51.80761719,1044.59375,1073.828125,395.1875,652.4140625,606.109375
21/06/2020 10:20,7024,58.76611328,53.03076172,51.84082031,1044.828125,1071.484375,395.5234375,650.109375,608.8125
21/06/2020 10:25,7025,59.13183594,53.31005859,52.15771484,1045.125,1069.9375,395.59375,648.1484375,610.4921875
21/06/2020 10:30,7026,59.46533203,53.64355469,52.484375,1044.796875,1067.296875,395.0859375,646.6015625,610.0703125
21/06/2020 10:35,7027,59.93457031,53.94580078,52.81494141,1043.859375,1063.6875,395.7109375,644.328125,611.3671875
21/06/2020 10:40,7028,60.44433594,54,52.99267578,1042.546875,1059.46875,395.7304688,643.578125,611.6328125
21/06/2020 10:45,7029,60.77783203,54.01171875,53,1041.53125,1056.828125,395.6757813,643.21875,612.671875
21/06/2020 10:50,7030,61.16210938,54.12548828,53.18066406,1040.625,1056.09375,394.8710938,642.2890625,613.5390625
21/06/2020 10:55,7031,61.52050781,54.45849609,53.44287109,1039.875,1056.234375,394.7148438,641.1328125,615.9375
21/06/2020 11:00,7032,61.85400391,54.77978516,53.77636719,1038.765625,1055.375,395.0078125,639.6953125,617.828125
21/06/2020 11:05,7033,62.04638672,55.04882813,53.92871094,1037.5,1052.5625,395.2929688,638.96875,620.78125
21/06/2020 11:10,7034,62.24951172,55.32177734,54,1036.40625,1048.734375,395.53125,637.359375,622.6328125
21/06/2020 11:15,7035,62.58203125,55.65478516,54,1035.46875,1045.3125,395.5585938,638.296875,622.0390625
21/06/2020 11:20,7036,62.94189453,55.93945313,54,1034.25,1042.578125,395.2265625,640.4375,618.375
21/06/2020 11:25,7037,63.3046875,56,54,1033.109375,1041.8125,395.15625,641.5390625,616.5859375
21/06/2020 11:30,7038,63.30566406,56,54,1032.46875,1042.78125,394.8359375,639.5390625,618.3046875
21/06/2020 11:35,7039,63.47607422,56.22705078,54.37402344,1032.078125,1045.3125,395.015625,636.90625,620.46875
21/06/2020 11:40,7040,63.64941406,56.52539063,54.953125,1031.921875,1047.703125,394.8515625,636.609375,620.7890625
21/06/2020 11:45,7041,64.21777344,56.85888672,55.42041016,1031.390625,1048.15625,394.9765625,640.3125,617.015625
21/06/2020 11:50,7042,64.49121094,56.96484375,55.48779297,1031.4375,1049.9375,395.3632813,642.3203125,615.421875
21/06/2020 11:55,7043,64.66601563,56.99951172,55.27978516,1030.875,1050.9375,395.03125,640.75,617.25
21/06/2020 12:00,7044,64.76367188,57,55.35839844,1029.734375,1051.828125,395.0117188,636.578125,621.21875
21/06/2020 12:05,7045,64.9140625,57,55.49267578,1027.3125,1048.53125,394.71875,634.328125,623.375
21/06/2020 12:10,7046,65,57,55.80957031,1025.578125,1046.25,395.1523438,635.8671875,620.875
21/06/2020 12:15,7047,65,57,56.25976563,1024.53125,1049.09375,395.2578125,641.9375,615.7265625
21/06/2020 12:20,7048,65.07519531,57.20507813,56.68359375,1025.1875,1055.796875,395.140625,650.0703125,607.2734375
21/06/2020 12:25,7049,65.10839844,57.53857422,56.99560547,1026.578125,1063.234375,395.2109375,659.828125,599.4765625
21/06/2020 12:30,7050,65.1953125,57.87207031,57,1028.8125,1067.765625,394.984375,665.609375,593.21875
21/06/2020 12:35,7051,65.23535156,58,57,1030.1875,1070.59375,394.9570313,669.3515625,589.4765625
21/06/2020 12:40,7052,65.53515625,58,57,1030.515625,1071.0625,394.5898438,669.859375,587.875
21/06/2020 12:45,7053,65.78222656,58,56.87451172,1029.921875,1069.25,394.7226563,669.015625,588.421875
21/06/2020 12:50,7054,65.99902344,58,57.01953125,1029.90625,1067.09375,394.4453125,665.625,592.40625
21/06/2020 12:55,7055,66,58,57.13671875,1030.109375,1065.59375,394.3320313,662.421875,595.921875
21/06/2020 13:00,7056,66,58,57.26220703,1030.65625,1064.40625,394.2851563,659.5390625,598.765625
21/06/2020 13:05,7057,66,58,57.1171875,1031.296875,1062.09375,394.4296875,657.796875,599.5703125
21/06/2020 13:10,7058,66,58,57,1031.5625,1059.75,394.8789063,656.03125,600.5859375
21/06/2020 13:15,7059,66,58.01464844,57,1032.109375,1059.625,394.4492188,655.4140625,601.4140625
21/06/2020 13:20,7060,66,58.10595703,57.06542969,1032.03125,1060.75,394.4453125,654.2578125,603.4375
21/06/2020 13:25,7061,66,58.34472656,57.23388672,1032.15625,1062.015625,394.125,653.1015625,604.4609375
21/06/2020 13:30,7062,66,58.42480469,57.50634766,1031.859375,1061.59375,394.5117188,649.84375,608.2734375
21/06/2020 13:35,7063,66,58.57080078,57.72753906,1031.765625,1060.515625,394.7578125,648.5078125,609.8125
