SPEED,TEMPERATURE,HEAD,DEVICE_ID,PUMP_MODE,FLOW,WARN,KW_HOUR,VOLTAGE,ALARM,POWER,CURRENT,TIMESTAMP,DEVICETYPE,DEVICEID,LOGICALINTERFACE_ID,EVENTTYPE,FORMAT,RCV_TIMESTAMP_UTC,UPDATED_UTC
1065,52.3,49.541,04714B601096,a,49.951,0,3637.146,255,0,1.84,7.51,3162356377,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,16:34.1,16:34.1
1060,51.8,49.002,04714B601096,a,37.953,0,3637.299,253,0,1.714,7.41,3162356677,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,21:34.3,21:34.3
1059,51.5,48.908,04714B601096,a,36.644,0,3637.445,253,0,1.722,7.39,3162356977,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,26:34.5,26:34.5
1060,52.4,49.003,04714B601096,a,38.766,0,3637.591,253,0,1.744,7.37,3162357278,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,31:34.7,31:34.7
1057,52.3,48.709,04714B601096,a,28.95,0,3637.734,252,0,1.654,7.33,3162357578,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,36:34.9,36:34.9
1065,52.4,49.425,04714B601096,a,50.916,0,3637.881,255,0,1.85,7.61,3162357878,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,41:35.1,41:35.1
1062,51.8,49.1,04714B601096,a,43.61,0,3638.034,254,0,1.778,7.44,3162358178,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,46:35.4,46:35.4
1060,52.2,49.004,04714B601096,a,38.914,0,3638.178,253,0,1.744,7.47,3162358479,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,51:36.1,51:36.1
1064,52.4,49.333,04714B601096,a,48.105,0,3638.325,254,0,1.836,7.52,3162358779,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,56:36.2,56:36.2
1060,51.8,49.002,04714B601096,a,37.361,0,3638.472,253,0,1.738,7.39,3162359079,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,01:36.4,01:36.4
1059,52.4,48.907,04714B601096,a,35.755,0,3638.617,253,0,1.714,7.32,3162359380,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,06:36.6,06:36.6
1057,52.3,48.716,04714B601096,a,31.999,0,3638.76,252,0,1.684,7.33,3162359680,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,11:36.8,11:36.8
1060,52.1,49.004,04714B601096,a,38.988,0,3638.9,253,0,1.758,7.45,3162359980,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,16:37.1,16:37.1
1063,52.1,49.309,04714B601096,a,44.755,0,3639.049,254,0,1.804,7.5,3162360280,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,21:37.3,21:37.3
1060,52.2,49.072,04714B601096,a,38.026,0,3639.197,253,0,1.742,7.45,3162360580,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,26:37.5,26:37.5
1057,52.8,48.713,04714B601096,a,30.883,0,3639.341,252,0,1.686,7.28,3162360881,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,31:37.7,31:37.7
1054,52.1,48.415,04714B601096,a,22.825,0,3639.477,251,0,1.606,7.21,3162361181,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,36:37.9,36:37.9
1059,52.1,48.907,04714B601096,a,36.051,0,3639.618,253,0,1.712,7.33,3162361481,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,41:38.1,41:38.1
1063,52.3,49.263,04714B601096,a,45.327,0,3639.767,254,0,1.804,7.46,3162361781,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,46:38.3,46:38.3
1063,51.9,49.286,04714B601096,a,45.52,0,3639.92,254,0,1.806,7.5,3162362081,pump_de_gen5,04714B601096,5b87eea0ad59e6002d67eb94,data,json,51:38.5,51:38.5
